asset_id,risk_score,predicted_label,true_label
asset_0000,0.5652,1,1
asset_0001,0.7683,1,1
asset_0002,0.1345,0,0
asset_0003,0.6338,1,1
asset_0004,0.6232,1,1
asset_0005,0.4635,0,1
asset_0006,0.6833,1,1
asset_0007,0.5844,1,0
asset_0008,0.7765,1,1
asset_0009,0.7695,1,1
asset_0010,0.3712,0,0
asset_0011,0.8969,1,1
asset_0012,0.3576,0,0
asset_0013,0.584,1,1
asset_0014,0.3901,0,0
asset_0015,0.5067,1,1
asset_0016,0.3447,0,0
asset_0017,0.6112,1,1
asset_0018,0.6792,1,1
asset_0019,0.389,0,0
asset_0020,0.1351,0,0
asset_0021,0.4189,0,0
asset_0022,0.7698,1,1
asset_0023,0.7575,1,1
asset_0024,0.6804,1,1
asset_0025,0.2187,0,0
asset_0026,0.6986,1,1
asset_0027,0.7086,1,1
asset_0028,0.1849,0,0
asset_0029,0.7664,1,1
asset_0030,0.7281,1,1
asset_0031,0.8576,1,1
asset_0032,0.6389,1,1
asset_0033,0.6193,1,1
asset_0034,0.5623,1,1
asset_0035,0.2126,0,0
asset_0036,0.3492,0,0
asset_0037,0.7769,1,1
asset_0038,0.6932,1,1
asset_0039,0.602,1,1
asset_0040,0.5392,1,1
asset_0041,0.6432,1,1
asset_0042,0.885,1,1
asset_0043,0.2063,0,0
asset_0044,0.8184,1,1
asset_0045,0.8129,1,1
asset_0046,0.717,1,1
asset_0047,0.9414,1,1
asset_0048,0.8154,1,1
asset_0049,0.581,1,1
asset_0050,0.8756,1,1
asset_0051,0.169,0,0
asset_0052,0.7233,1,1
asset_0053,0.7856,1,1
asset_0054,0.3369,0,0
asset_0055,0.8837,1,1
asset_0056,0.2248,0,0
asset_0057,0.8189,1,1
asset_0058,0.6766,1,1
asset_0059,0.3317,0,0
asset_0060,0.8736,1,1
asset_0061,0.6363,1,1
asset_0062,0.4917,0,1
asset_0063,0.3667,0,0
asset_0064,0.8303,1,1
asset_0065,0.9702,1,1
asset_0066,0.373,0,1
asset_0067,0.5844,1,1
asset_0068,0.7829,1,1
asset_0069,0.2735,0,0
asset_0070,0.5156,1,1
asset_0071,0.6452,1,1
asset_0072,0.8579,1,1
asset_0073,0.9103,1,1
asset_0074,0.5098,1,1
asset_0075,0.7489,1,1
asset_0076,0.642,1,1
asset_0077,0.8262,1,1
asset_0078,0.6067,1,1
asset_0079,0.735,1,1
asset_0080,0.8508,1,1
asset_0081,0.5964,1,1
asset_0082,0.3445,0,0
asset_0083,0.5611,1,1
asset_0084,0.1149,0,0
asset_0085,0.1397,0,0
asset_0086,0.7189,1,1
asset_0087,0.6506,1,1
asset_0088,0.4797,0,1
asset_0089,0.7893,1,1
asset_0090,0.3514,0,0
asset_0091,0.2291,0,0
asset_0092,0.6328,1,1
asset_0093,0.5944,1,0
asset_0094,0.3006,0,0
asset_0095,0.6289,1,1
asset_0096,0.6866,1,1
asset_0097,0.8567,1,1
asset_0098,0.5815,1,1
asset_0099,0.6877,1,1
asset_0100,0.8762,1,1
asset_0101,0.4393,0,0
asset_0102,0.6617,1,1
asset_0103,0.488,0,1
asset_0104,0.3776,0,0
asset_0105,0.814,1,1
asset_0106,0.5034,1,1
asset_0107,0.7567,1,1
asset_0108,0.7759,1,1
asset_0109,0.2555,0,0
asset_0110,0.5811,1,1
asset_0111,0.358,0,0
asset_0112,0.6783,1,1
asset_0113,0.4118,0,1
asset_0114,0.2119,0,0
asset_0115,0.1816,0,0
asset_0116,0.4263,0,1
asset_0117,0.8449,1,1
asset_0118,0.7446,1,1
asset_0119,0.6302,1,1
asset_0120,0.725,1,1
asset_0121,0.7065,1,1
asset_0122,0.5386,1,0
asset_0123,0.2753,0,0
asset_0124,0.7926,1,1
asset_0125,0.7608,1,1
asset_0126,0.8178,1,1
asset_0127,0.7224,1,1
asset_0128,0.9045,1,1
asset_0129,0.697,1,1
asset_0130,0.1557,0,0
asset_0131,0.8142,1,1
asset_0132,0.2199,0,0
asset_0133,0.612,1,1
asset_0134,0.5233,1,0
asset_0135,0.8487,1,1
asset_0136,0.7758,1,1
asset_0137,0.796,1,1
asset_0138,0.6057,1,1
asset_0139,0.7074,1,1
asset_0140,0.6424,1,1
asset_0141,0.4689,0,0
asset_0142,0.5988,1,1
asset_0143,0.6565,1,1
asset_0144,0.5574,1,1
asset_0145,0.9274,1,1
asset_0146,0.477,0,0
asset_0147,0.5666,1,1
asset_0148,0.6369,1,1
asset_0149,0.5425,1,1
asset_0150,0.835,1,1
asset_0151,0.4239,0,0
asset_0152,0.2947,0,0
asset_0153,0.7694,1,1
asset_0154,0.5074,1,1
asset_0155,0.7176,1,1
asset_0156,0.5942,1,1
asset_0157,0.3412,0,1
asset_0158,0.7471,1,1
asset_0159,0.2318,0,0
asset_0160,0.3671,0,0
asset_0161,0.691,1,1
asset_0162,0.0818,0,0
asset_0163,0.8234,1,1
asset_0164,0.8193,1,1
asset_0165,0.4616,0,1
asset_0166,0.6839,1,1
asset_0167,0.5038,1,1
asset_0168,0.7608,1,1
asset_0169,0.6212,1,1
asset_0170,0.6303,1,0
asset_0171,0.8338,1,1
asset_0172,0.6268,1,1
asset_0173,0.3097,0,0
asset_0174,0.5952,1,1
asset_0175,0.869,1,1
asset_0176,0.7432,1,1
asset_0177,0.3645,0,0
asset_0178,0.4843,0,1
asset_0179,0.7919,1,1
asset_0180,0.8709,1,1
asset_0181,0.584,1,1
asset_0182,0.717,1,1
asset_0183,0.8298,1,1
asset_0184,0.1096,0,0
asset_0185,0.5061,1,0
asset_0186,0.8693,1,1
asset_0187,0.4077,0,0
asset_0188,0.6477,1,1
asset_0189,0.8477,1,1
asset_0190,0.5594,1,1
asset_0191,0.6181,1,1
asset_0192,0.8811,1,1
asset_0193,0.8412,1,1
asset_0194,0.8447,1,1
asset_0195,0.6368,1,1
asset_0196,0.1901,0,0
asset_0197,0.8116,1,1
asset_0198,0.3572,0,0
asset_0199,0.7011,1,1
asset_0200,0.2027,0,0
asset_0201,0.1475,0,0
asset_0202,0.5456,1,1
asset_0203,0.6849,1,1
asset_0204,0.8297,1,1
asset_0205,0.0837,0,0
asset_0206,0.5902,1,1
asset_0207,0.2309,0,0
asset_0208,0.4619,0,1
asset_0209,0.2314,0,0
asset_0210,0.6556,1,1
asset_0211,0.659,1,1
asset_0212,0.2598,0,0
asset_0213,0.447,0,0
asset_0214,0.3892,0,0
asset_0215,0.6535,1,1
asset_0216,0.8233,1,1
asset_0217,0.9341,1,1
asset_0218,0.7867,1,1
asset_0219,0.403,0,0
asset_0220,0.4134,0,0
asset_0221,0.3686,0,1
asset_0222,0.5442,1,0
asset_0223,0.5946,1,1
asset_0224,0.4918,0,1
asset_0225,0.1437,0,0
asset_0226,0.7431,1,1
asset_0227,0.3585,0,0
asset_0228,0.2361,0,0
asset_0229,0.6446,1,1
asset_0230,0.703,1,1
asset_0231,0.7693,1,1
asset_0232,0.7594,1,1
asset_0233,0.631,1,1
asset_0234,0.3119,0,0
asset_0235,0.6631,1,1
asset_0236,0.7782,1,1
asset_0237,0.6858,1,1
asset_0238,0.641,1,1
asset_0239,0.4026,0,0
asset_0240,0.1895,0,0
asset_0241,0.4894,0,0
asset_0242,0.8978,1,1
asset_0243,0.2312,0,0
asset_0244,0.7331,1,1
asset_0245,0.8268,1,1
asset_0246,0.7606,1,1
asset_0247,0.2305,0,0
asset_0248,0.3436,0,0
asset_0249,0.5162,1,0
asset_0250,0.6698,1,1
asset_0251,0.7544,1,1
asset_0252,0.705,1,1
asset_0253,0.8974,1,1
asset_0254,0.3947,0,0
asset_0255,0.6485,1,1
asset_0256,0.6362,1,1
asset_0257,0.5474,1,1
asset_0258,0.5999,1,1
asset_0259,0.292,0,0
asset_0260,0.5122,1,1
asset_0261,0.5011,1,1
asset_0262,0.5624,1,0
asset_0263,0.6164,1,1
asset_0264,0.9078,1,1
asset_0265,0.1267,0,0
asset_0266,0.5805,1,1
asset_0267,0.7599,1,1
asset_0268,0.7049,1,1
asset_0269,0.5724,1,1
asset_0270,0.8776,1,1
asset_0271,0.3086,0,0
asset_0272,0.9083,1,1
asset_0273,0.8293,1,1
asset_0274,0.1783,0,0
asset_0275,0.5514,1,1
asset_0276,0.2167,0,0
asset_0277,0.6453,1,1
asset_0278,0.662,1,1
