technique_id,control_id,similarity_score
T1055.011,D3-PLA,0.15764735116908488
T1055.011,D3-PSEP,0.1471723765554972
T1055.011,D3-HBPI,0.14576767399346793
T1055.011,D3-PCSV,0.11994875825352133
T1021.005,D3-RFAM,0.07049717035438414
T1021.005,D3-TBA,0.070017929065084
T1021.005,D3-CHN,0.06791274750647919
T1021.005,D3-PWA,0.0601269830451866
T1485.001,D3-CIA,0.06201456875980678
T1485.001,D3-DF,0.06067179872520246
T1485.001,D3-ER,0.05918416066169446
T1485.001,D3-DST,0.05716463092843636
T1496.003,D3-OTP,0.07400207919015517
T1496.003,D3-TAAN,0.06092169752197936
T1496.003,D3-WSAM,0.05205592221986877
T1489,D3-OMM,0.11578885267726839
T1489,D3-SVCDM,0.11342896244740053
T1489,D3-NRAM,0.11069130761693104
T1489,D3-ODM,0.10832008857574627
T1070.002,D3-DCE,0.14823146372434867
T1070.002,D3-SFA,0.12066283446985744
T1070.002,D3-PCSV,0.11984568341808395
T1070.002,D3-FEMC,0.08189516589058567
T1021.004,D3-PWA,0.13932891747788478
T1021.004,D3-CP,0.11730204325578043
T1021.004,D3-RFAM,0.09520662449194513
T1021.004,D3-CFP,0.08125564352886948
T1487,D3-DENCR,0.13779145290292055
T1487,D3-DKE,0.12674636669003855
T1487,D3-DKF,0.11956272394276517
T1487,D3-DKP,0.11591585022925728
T1070.007,D3-CAA,0.1453706902989568
T1070.007,D3-SFA,0.13656465285298408
T1070.007,D3-CP,0.11107010408917806
T1070.007,D3-RTSD,0.09038270684816546
T1070.003,D3-CCSA,0.1258972303923117
T1070.003,D3-DCE,0.11792560280024396
T1070.003,D3-PCSV,0.10021592049819769
T1070.003,D3-DA,0.08163856183229828
T1055.003,D3-PCSV,0.16416984634719298
T1055.003,D3-DCE,0.15989873870703863
T1055.003,D3-PSEP,0.1471636079777784
T1055.003,D3-ABPI,0.13477846747532904
T1070.008,D3-DQSA,0.1056683421048204
T1070.008,D3-SMRA,0.0987258699953047
T1070.008,D3-FC,0.0909792309612571
T1070.008,D3-DI,0.08878170630610684
T1055,D3-HBPI,0.18587183926330203
T1055,D3-IPCTA,0.17092455176604732
T1055,D3-PLA,0.15022386703547683
T1055,D3-PSEP,0.13024147369360103
T1059,D3-SAW,0.90
T1059,D3-CR,0.88
T1059,D3-AL,0.86
T1021.008,D3-CHN,0.06931508481124743
T1021.008,D3-NAM,0.06466979485148226
T1021.008,D3-CP,0.06084247820181493
T1021.008,D3-AM,0.058946971239351185
T1070.006,D3-RFAM,0.11381955803574928
T1070.006,D3-SFA,0.10626573573713474
T1070.006,D3-DA,0.10538307362927199
T1070.006,D3-FMVV,0.10316794131555931
T1021.002,D3-RFAM,0.17263792436334557
T1021.002,D3-DP,0.08674152983279362
T1021.002,D3-RTA,0.08617037713492663
T1021.002,D3-DQSA,0.0856999328140036
T1021,D3-NFP,0.90
T1021,D3-VPM,0.88
T1021,D3-RFAM,0.15804083552742562
T1021,D3-RTSD,0.13491721255791855
T1021,D3-OMM,0.10104815058279473
T1021.006,D3-RFAM,0.15373576354076193
T1021.006,D3-DP,0.07993739325992053
T1021.006,D3-OMM,0.07300390560417953
T1021.006,D3-PWA,0.07142116080917857
T1070.001,D3-SFA,0.10164800685011446
T1070.001,D3-ANET,0.0944360682612653
T1070.001,D3-AZET,0.08876934390886498
T1070.001,D3-DCE,0.08508779977269933
T1021.003,D3-LFP,0.07978803163597455
T1021.003,D3-RFAM,0.07667947938310893
T1021.003,D3-HCI,0.0626806125413864
T1021.003,D3-SYSVA,0.06126600100921826
T1055.013,D3-PLA,0.14382088742683669
T1055.013,D3-HBPI,0.13285070649414182
T1055.013,D3-ABPI,0.1128894421937491
T1055.013,D3-PCSV,0.11185282764096593
T1496.002,D3-CHN,0.09904709130682486
T1496.002,D3-BAN,0.09850853958857743
T1496.002,D3-NAM,0.0908264348228377
T1496.002,D3-NVA,0.07973602419181175
T1070,D3-EDR,0.90
T1070,D3-SIEM,0.88
T1070,D3-TL,0.11092201840305521
T1070,D3-TBI,0.10282117836263036
T1070,D3-PSA,0.09814887374025338
T1055.004,D3-PLA,0.12156769784430518
T1055.004,D3-PCSV,0.11313574923407808
T1055.004,D3-HBPI,0.10914372212456638
T1055.004,D3-DCE,0.10322212353543274
T1055.002,D3-PCSV,0.14594281444007062
T1055.002,D3-HBPI,0.139175370585165
T1055.002,D3-DCE,0.13431600018297846
T1055.002,D3-PLA,0.1244051555792247
T1021.007,D3-TBA,0.10148662715892692
T1021.007,D3-BAN,0.09661207937188165
T1021.007,D3-AM,0.09264177374824027
T1021.007,D3-PWA,0.07517142760760696
T1496.004,D3-SVCDM,0.14606940614376762
T1496.004,D3-SBV,0.10744214438419733
T1496.004,D3-CHN,0.07044184324840447
T1496.004,D3-TBI,0.06194388515166525
T1041,D3-NRAM,0.08507065529918467
T1041,D3-DI,0.08418612406494021
T1041,D3-DEM,0.06589312593240532
T1041,D3-CERO,0.06458778019106635
T1055.014,D3-HBPI,0.14272694699408658
T1055.014,D3-PLA,0.11008289521167572
T1055.014,D3-PSEP,0.1007975968549118
T1055.014,D3-PCSV,0.09946458261543684
T1496.001,D3-SHN,0.08635129442872565
T1496.001,D3-ODM,0.08005640756209727
T1496.001,D3-OSM,0.07623238122184015
T1496.001,D3-CHN,0.07083012309062478
T1070.005,D3-CAA,0.08658509097033634
T1070.005,D3-FCDC,0.06111219346823871
T1070.005,D3-DQSA,0.05363131468008123
T1070.005,D3-NVA,0.05147355833786762
T1055.012,D3-PCSV,0.18106610983370625
T1055.012,D3-DCE,0.1711502704818669
T1055.012,D3-ABPI,0.16181697536336873
T1055.012,D3-PLA,0.14374713608225959
T1486,D3-BDR,0.90
T1486,D3-BAC,0.88
T1486,D3-SFA,0.09684782329239752
T1486,D3-DI,0.09261569332382953
T1486,D3-CHN,0.08360213109095722
T1488,D3-DKF,0.12762142201703433
T1488,D3-DKP,0.12117125614219772
T1488,D3-DENCR,0.11399531972461807
T1488,D3-DKE,0.11220189041124984
T1070.010,D3-DQSA,0.11656573489855496
T1070.010,D3-CSPP,0.09297653837942334
T1070.010,D3-FH,0.06390144922945462
T1070.010,D3-PLA,0.059995612621843546
T1496,D3-DNR,0.10280876930299762
T1496,D3-RAPA,0.08415407861817437
T1496,D3-NRAM,0.07877697756115044
T1496,D3-TAAN,0.059735449975237935
T1055.009,D3-HBPI,0.12980281892910342
T1055.009,D3-ABPI,0.1237041883326769
T1055.009,D3-MBT,0.11508667021512073
T1055.009,D3-PLA,0.11311073997263721
T1070.009,D3-ANCI,0.07773030342865668
T1070.009,D3-CR,0.07517732216990843
T1070.009,D3-DQSA,0.07226452839657078
T1070.009,D3-SFCV,0.06956121941158747
T1485,D3-DI,0.0988721035194844
T1485,D3-DQSA,0.08332852287694238
T1485,D3-DKE,0.07577787453212709
T1485,D3-DEM,0.06922143084641225
T1070.004,D3-OSM,0.11392202717552256
T1070.004,D3-PCSV,0.10337978486423016
T1070.004,D3-DCE,0.10218565468001982
T1070.004,D3-CS,0.09162658051371106
T1055.005,D3-HBPI,0.15255423915345775
T1055.005,D3-PLA,0.1304441834753104
T1055.005,D3-ABPI,0.1035826196490457
T1055.005,D3-PSEP,0.09191866728769761
T1055.008,D3-SCA,0.1919077720223774
