technique_id,control_id,score
T1486,D3-BDR,0.899221355539851
T1486,D3-BAC,0.8944569417028085
T1486,D3-SAW,0.7692444106820795
T1490,D3-BDR,0.8304072710629696
T1490,D3-BAC,0.7194749563496282
T1490,D3-SAW,0.7222097499278208
T1059,D3-SAW,0.9515524066499057
T1059,D3-CR,0.8584029980141501
T1059,D3-AL,0.7765553053588377
T1021,D3-NFP,0.7348776761896126
T1021,D3-VPM,0.7734878241983695
T1021,D3-AA,0.8846674258723244
T1070,D3-EDR,0.8565164131106329
T1070,D3-SIEM,0.9351383024267474
T1070,D3-AV,0.7739511135913906
