asset_id,risk_score,predicted_label,true_label
asset_0000,0.717,1,1
asset_0001,0.9062,1,1
asset_0002,0.1274,0,0
asset_0003,0.5902,1,1
asset_0004,0.9379,1,1
asset_0005,0.9496,1,1
asset_0006,0.8109,1,1
asset_0007,0.275,0,0
asset_0008,0.8063,1,1
asset_0009,0.6943,1,1
asset_0010,0.144,0,0
asset_0011,0.8341,1,1
asset_0012,0.0556,0,0
asset_0013,0.7767,1,1
asset_0014,0.2669,0,0
asset_0015,0.8347,1,1
asset_0016,0.1354,0,0
asset_0017,0.6153,1,1
asset_0018,0.8152,1,1
asset_0019,0.3745,0,0
asset_0020,0.0598,0,0
asset_0021,0.5107,1,0
asset_0022,0.7302,1,1
asset_0023,0.9366,1,1
asset_0024,0.9306,1,1
asset_0025,0.3807,0,0
asset_0026,0.9275,1,1
asset_0027,0.9745,1,1
asset_0028,0.3953,0,0
asset_0029,0.8499,1,1
asset_0030,0.7312,1,1
asset_0031,0.8147,1,1
asset_0032,0.9309,1,1
asset_0033,0.8337,1,1
asset_0034,0.7133,1,1
asset_0035,0.1278,0,0
asset_0036,0.2893,0,0
asset_0037,0.7753,1,1
asset_0038,0.8535,1,1
asset_0039,0.7884,1,1
asset_0040,0.813,1,1
asset_0041,0.9094,1,1
asset_0042,0.634,1,1
asset_0043,0.2807,0,0
asset_0044,0.7782,1,1
asset_0045,0.7933,1,1
asset_0046,0.7989,1,1
asset_0047,0.7555,1,1
asset_0048,0.7688,1,1
asset_0049,0.772,1,1
asset_0050,0.7248,1,1
asset_0051,0.0574,0,0
asset_0052,0.4686,0,1
asset_0053,0.8013,1,1
asset_0054,0.0478,0,0
asset_0055,0.8864,1,1
asset_0056,0.055,0,0
asset_0057,0.9125,1,1
asset_0058,0.6362,1,1
asset_0059,0.2209,0,0
asset_0060,0.6783,1,1
asset_0061,0.583,1,1
asset_0062,1.0,1,1
asset_0063,0.2026,0,0
asset_0064,0.3251,0,1
asset_0065,0.5881,1,1
asset_0066,0.7899,1,1
asset_0067,0.8687,1,1
asset_0068,0.7967,1,1
asset_0069,0.1123,0,0
asset_0070,0.9352,1,1
asset_0071,0.892,1,1
asset_0072,0.8094,1,1
asset_0073,0.6745,1,1
asset_0074,0.7313,1,1
asset_0075,0.8103,1,1
asset_0076,0.6899,1,1
asset_0077,0.8891,1,1
asset_0078,0.9412,1,1
asset_0079,0.768,1,1
asset_0080,0.8469,1,1
asset_0081,0.7451,1,1
asset_0082,0.3966,0,0
asset_0083,0.9476,1,1
asset_0084,0.2356,0,0
asset_0085,0.2317,0,0
asset_0086,0.9589,1,1
asset_0087,0.7496,1,1
asset_0088,0.8816,1,1
asset_0089,0.9917,1,1
asset_0090,0.1268,0,0
asset_0091,0.0616,0,0
asset_0092,0.7133,1,1
asset_0093,0.0059,0,0
asset_0094,0.1985,0,0
asset_0095,0.7658,1,1
asset_0096,0.5999,1,1
asset_0097,0.9335,1,1
asset_0098,0.7313,1,1
asset_0099,0.9104,1,1
asset_0100,0.9683,1,1
asset_0101,0.07,0,0
asset_0102,0.7988,1,1
asset_0103,0.955,1,1
asset_0104,0.3696,0,0
asset_0105,0.7205,1,1
asset_0106,0.6871,1,1
asset_0107,0.9046,1,1
asset_0108,0.7868,1,1
asset_0109,0.1251,0,0
asset_0110,0.6945,1,1
asset_0111,0.4659,0,0
asset_0112,0.9482,1,1
asset_0113,1.0,1,1
asset_0114,0.1316,0,0
asset_0115,0.2577,0,0
asset_0116,0.9959,1,1
asset_0117,0.8037,1,1
asset_0118,0.9093,1,1
asset_0119,0.8898,1,1
asset_0120,0.763,1,1
asset_0121,0.8604,1,1
asset_0122,0.4157,0,0
asset_0123,0.3647,0,0
asset_0124,0.7969,1,1
asset_0125,0.7586,1,1
asset_0126,0.8012,1,1
asset_0127,0.8239,1,1
asset_0128,0.8673,1,1
asset_0129,0.9286,1,1
asset_0130,0.033,0,0
asset_0131,0.8059,1,1
asset_0132,0.3765,0,0
asset_0133,0.8391,1,1
asset_0134,0.0911,0,0
asset_0135,0.9187,1,1
asset_0136,0.6849,1,1
asset_0137,0.8931,1,1
asset_0138,0.7044,1,1
asset_0139,0.6772,1,1
asset_0140,0.742,1,1
asset_0141,0.3094,0,0
asset_0142,0.7912,1,1
asset_0143,0.8611,1,1
asset_0144,0.8071,1,1
asset_0145,0.7433,1,1
asset_0146,0.3941,0,0
asset_0147,0.902,1,1
asset_0148,0.964,1,1
asset_0149,0.8948,1,1
asset_0150,0.7748,1,1
asset_0151,0.2198,0,0
asset_0152,0.303,0,0
asset_0153,0.7397,1,1
asset_0154,0.8968,1,1
asset_0155,0.7196,1,1
asset_0156,0.8235,1,1
asset_0157,1.0,1,1
asset_0158,0.5781,1,1
asset_0159,0.197,0,0
asset_0160,0.4957,0,0
asset_0161,0.8011,1,1
asset_0162,0.1883,0,0
asset_0163,0.5902,1,1
asset_0164,0.8536,1,1
asset_0165,0.7914,1,1
asset_0166,0.5875,1,1
asset_0167,0.792,1,1
asset_0168,0.8694,1,1
asset_0169,0.718,1,1
asset_0170,0.1261,0,0
asset_0171,0.778,1,1
asset_0172,0.902,1,1
asset_0173,0.0859,0,0
asset_0174,0.9329,1,1
asset_0175,0.5429,1,1
asset_0176,0.9501,1,1
asset_0177,0.0621,0,0
asset_0178,0.9651,1,1
asset_0179,0.9391,1,1
asset_0180,0.9098,1,1
asset_0181,0.6159,1,1
asset_0182,0.8331,1,1
asset_0183,0.8797,1,1
asset_0184,0.3299,0,0
asset_0185,0.0691,0,0
asset_0186,0.8406,1,1
asset_0187,0.1191,0,0
asset_0188,0.7409,1,1
asset_0189,0.6602,1,1
asset_0190,0.7351,1,1
asset_0191,0.9116,1,1
asset_0192,0.8019,1,1
asset_0193,0.8498,1,1
asset_0194,0.8908,1,1
asset_0195,0.7803,1,1
asset_0196,0.0898,0,0
asset_0197,0.8786,1,1
asset_0198,0.0819,0,0
asset_0199,0.7544,1,1
asset_0200,0.277,0,0
asset_0201,0.3066,0,0
asset_0202,0.8804,1,1
asset_0203,0.7499,1,1
asset_0204,0.8997,1,1
asset_0205,0.3408,0,0
asset_0206,0.835,1,1
asset_0207,0.2752,0,0
asset_0208,1.0,1,1
asset_0209,0.0856,0,0
asset_0210,0.7586,1,1
asset_0211,0.9358,1,1
asset_0212,0.3614,0,0
asset_0213,0.3006,0,0
asset_0214,0.226,0,0
asset_0215,0.8074,1,1
asset_0216,0.8376,1,1
asset_0217,0.7433,1,1
asset_0218,0.6084,1,1
asset_0219,0.2677,0,0
asset_0220,0.1904,0,0
asset_0221,0.6435,1,1
asset_0222,0.2805,0,0
asset_0223,0.7348,1,1
asset_0224,0.9847,1,1
asset_0225,0.6825,1,0
asset_0226,0.857,1,1
asset_0227,0.064,0,0
