attack_id,defense_id,source
T1486,D3-RA,d3fend_ransomware_specific
T1486,D3-DO,d3fend_ransomware_specific
T1486,D3-DE,d3fend_ransomware_specific
T1486,D3-FA,d3fend_ransomware_specific
T1486,D3-PM,d3fend_ransomware_specific
T1486,D3-UBA,d3fend_ransomware_specific
T1486,D3-AI,d3fend_ransomware_specific
T1490,D3-RA,d3fend_ransomware_specific
T1490,D3-PM,d3fend_ransomware_specific
T1490,D3-AI,d3fend_ransomware_specific
T1485,D3-RA,d3fend_ransomware_specific
T1485,D3-DO,d3fend_ransomware_specific
T1485,D3-FA,d3fend_ransomware_specific
T1487,D3-RA,d3fend_ransomware_specific
T1487,D3-PM,d3fend_ransomware_specific
T1488,D3-RA,d3fend_ransomware_specific
T1488,D3-FA,d3fend_ransomware_specific
T1489,D3-PM,d3fend_ransomware_specific
T1489,D3-UBA,d3fend_ransomware_specific
T1489,D3-AI,d3fend_ransomware_specific
T1055,D3-PE,d3fend_ransomware_specific
T1055,D3-PM,d3fend_ransomware_specific
T1055,D3-UBA,d3fend_ransomware_specific
T1055,D3-FA,d3fend_ransomware_specific
T1070,D3-PM,d3fend_ransomware_specific
T1070,D3-UBA,d3fend_ransomware_specific
T1070,D3-FA,d3fend_ransomware_specific
T1070,D3-AI,d3fend_ransomware_specific
T1021,D3-AMED,d3fend_ransomware_specific
T1021,D3-PM,d3fend_ransomware_specific
T1021,D3-UBA,d3fend_ransomware_specific
T1021,D3-AI,d3fend_ransomware_specific
T1041,D3-PM,d3fend_ransomware_specific
T1041,D3-UBA,d3fend_ransomware_specific
T1041,D3-AI,d3fend_ransomware_specific
T1496,D3-PM,d3fend_ransomware_specific
T1496,D3-UBA,d3fend_ransomware_specific
T1496,D3-AI,d3fend_ransomware_specific
T1496.003,D3-PM,d3fend_ransomware_specific
T1496.003,D3-UBA,d3fend_ransomware_specific
T1496.003,D3-AI,d3fend_ransomware_specific
T1055.015,D3-PE,d3fend_ransomware_specific
T1055.015,D3-PM,d3fend_ransomware_specific
T1055.015,D3-UBA,d3fend_ransomware_specific
T1055.015,D3-FA,d3fend_ransomware_specific
T1021.001,D3-AMED,d3fend_ransomware_specific
T1021.001,D3-PM,d3fend_ransomware_specific
T1021.001,D3-UBA,d3fend_ransomware_specific
T1021.001,D3-AI,d3fend_ransomware_specific
T1070.006,D3-PM,d3fend_ransomware_specific
T1070.006,D3-UBA,d3fend_ransomware_specific
T1070.006,D3-FA,d3fend_ransomware_specific
T1070.006,D3-AI,d3fend_ransomware_specific
T1055.003,D3-PE,d3fend_ransomware_specific
T1055.003,D3-PM,d3fend_ransomware_specific
T1055.003,D3-UBA,d3fend_ransomware_specific
T1055.003,D3-FA,d3fend_ransomware_specific
T1070.003,D3-PM,d3fend_ransomware_specific
T1070.003,D3-UBA,d3fend_ransomware_specific
T1070.003,D3-FA,d3fend_ransomware_specific
T1070.003,D3-AI,d3fend_ransomware_specific
T1021.004,D3-AMED,d3fend_ransomware_specific
T1021.004,D3-PM,d3fend_ransomware_specific
T1021.004,D3-UBA,d3fend_ransomware_specific
T1021.004,D3-AI,d3fend_ransomware_specific
T1021.002,D3-AMED,d3fend_ransomware_specific
T1021.002,D3-PM,d3fend_ransomware_specific
T1021.002,D3-UBA,d3fend_ransomware_specific
T1021.002,D3-AI,d3fend_ransomware_specific
T1070.007,D3-PM,d3fend_ransomware_specific
T1070.007,D3-UBA,d3fend_ransomware_specific
T1070.007,D3-FA,d3fend_ransomware_specific
T1070.007,D3-AI,d3fend_ransomware_specific
T1055.011,D3-PE,d3fend_ransomware_specific
T1055.011,D3-PM,d3fend_ransomware_specific
T1055.011,D3-UBA,d3fend_ransomware_specific
T1055.011,D3-FA,d3fend_ransomware_specific
T1055.014,D3-PE,d3fend_ransomware_specific
T1055.014,D3-PM,d3fend_ransomware_specific
T1055.014,D3-UBA,d3fend_ransomware_specific
T1055.014,D3-FA,d3fend_ransomware_specific
T1070.009,D3-PM,d3fend_ransomware_specific
T1070.009,D3-UBA,d3fend_ransomware_specific
T1070.009,D3-FA,d3fend_ransomware_specific
T1070.009,D3-AI,d3fend_ransomware_specific
T1496.004,D3-PM,d3fend_ransomware_specific
T1496.004,D3-UBA,d3fend_ransomware_specific
T1496.004,D3-AI,d3fend_ransomware_specific
T1055.013,D3-PE,d3fend_ransomware_specific
T1055.013,D3-PM,d3fend_ransomware_specific
T1055.013,D3-UBA,d3fend_ransomware_specific
T1055.013,D3-FA,d3fend_ransomware_specific
T1055.005,D3-PE,d3fend_ransomware_specific
T1055.005,D3-PM,d3fend_ransomware_specific
T1055.005,D3-UBA,d3fend_ransomware_specific
T1055.005,D3-FA,d3fend_ransomware_specific
T1496.002,D3-PM,d3fend_ransomware_specific
T1496.002,D3-UBA,d3fend_ransomware_specific
T1496.002,D3-AI,d3fend_ransomware_specific
T1070.004,D3-PM,d3fend_ransomware_specific
T1070.004,D3-UBA,d3fend_ransomware_specific
T1070.004,D3-FA,d3fend_ransomware_specific
T1070.004,D3-AI,d3fend_ransomware_specific
T1021.007,D3-AMED,d3fend_ransomware_specific
T1021.007,D3-PM,d3fend_ransomware_specific
T1021.007,D3-UBA,d3fend_ransomware_specific
T1021.007,D3-AI,d3fend_ransomware_specific
T1055.008,D3-PE,d3fend_ransomware_specific
T1055.008,D3-PM,d3fend_ransomware_specific
T1055.008,D3-UBA,d3fend_ransomware_specific
T1055.008,D3-FA,d3fend_ransomware_specific
T1070.008,D3-PM,d3fend_ransomware_specific
T1070.008,D3-UBA,d3fend_ransomware_specific
T1070.008,D3-FA,d3fend_ransomware_specific
T1070.008,D3-AI,d3fend_ransomware_specific
T1070.005,D3-PM,d3fend_ransomware_specific
T1070.005,D3-UBA,d3fend_ransomware_specific
T1070.005,D3-FA,d3fend_ransomware_specific
T1070.005,D3-AI,d3fend_ransomware_specific
T1055.001,D3-PE,d3fend_ransomware_specific
T1055.001,D3-PM,d3fend_ransomware_specific
T1055.001,D3-UBA,d3fend_ransomware_specific
T1055.001,D3-FA,d3fend_ransomware_specific
T1055.002,D3-PE,d3fend_ransomware_specific
T1055.002,D3-PM,d3fend_ransomware_specific
T1055.002,D3-UBA,d3fend_ransomware_specific
T1055.002,D3-FA,d3fend_ransomware_specific
T1021.003,D3-AMED,d3fend_ransomware_specific
T1021.003,D3-PM,d3fend_ransomware_specific
T1021.003,D3-UBA,d3fend_ransomware_specific
T1021.003,D3-AI,d3fend_ransomware_specific
T1070.010,D3-PM,d3fend_ransomware_specific
T1070.010,D3-UBA,d3fend_ransomware_specific
T1070.010,D3-FA,d3fend_ransomware_specific
T1070.010,D3-AI,d3fend_ransomware_specific
T1070.002,D3-PM,d3fend_ransomware_specific
T1070.002,D3-UBA,d3fend_ransomware_specific
T1070.002,D3-FA,d3fend_ransomware_specific
T1070.002,D3-AI,d3fend_ransomware_specific
T1021.008,D3-AMED,d3fend_ransomware_specific
T1021.008,D3-PM,d3fend_ransomware_specific
T1021.008,D3-UBA,d3fend_ransomware_specific
T1021.008,D3-AI,d3fend_ransomware_specific
T1055.009,D3-PE,d3fend_ransomware_specific
T1055.009,D3-PM,d3fend_ransomware_specific
T1055.009,D3-UBA,d3fend_ransomware_specific
T1055.009,D3-FA,d3fend_ransomware_specific
T1070.001,D3-PM,d3fend_ransomware_specific
T1070.001,D3-UBA,d3fend_ransomware_specific
T1070.001,D3-FA,d3fend_ransomware_specific
T1070.001,D3-AI,d3fend_ransomware_specific
T1055.004,D3-PE,d3fend_ransomware_specific
T1055.004,D3-PM,d3fend_ransomware_specific
T1055.004,D3-UBA,d3fend_ransomware_specific
T1055.004,D3-FA,d3fend_ransomware_specific
T1055.012,D3-PE,d3fend_ransomware_specific
T1055.012,D3-PM,d3fend_ransomware_specific
T1055.012,D3-UBA,d3fend_ransomware_specific
T1055.012,D3-FA,d3fend_ransomware_specific
T1485.001,D3-RA,d3fend_ransomware_specific
T1485.001,D3-DO,d3fend_ransomware_specific
T1485.001,D3-FA,d3fend_ransomware_specific
T1021.005,D3-AMED,d3fend_ransomware_specific
T1021.005,D3-PM,d3fend_ransomware_specific
T1021.005,D3-UBA,d3fend_ransomware_specific
T1021.005,D3-AI,d3fend_ransomware_specific
T1021.006,D3-AMED,d3fend_ransomware_specific
T1021.006,D3-PM,d3fend_ransomware_specific
T1021.006,D3-UBA,d3fend_ransomware_specific
T1021.006,D3-AI,d3fend_ransomware_specific
T1496.001,D3-PM,d3fend_ransomware_specific
T1496.001,D3-UBA,d3fend_ransomware_specific
T1496.001,D3-AI,d3fend_ransomware_specific
