defense_id,defense_name
D3-OAM,Operational Activity Mapping
D3-OM,
D3-ORA,
D3-ODM,
D3-AM,
D3-NM,Network Mapping
D3-PLM,
D3-DPLM,
D3-APLM,
D3-NVA,
D3-NTPM,
D3-LLM,
D3-PLLM,
D3-ALLM,
D3-AI,Asset Inventory
D3-SWI,
D3-NNI,
D3-HCI,
D3-DI,
D3-CI,
D3-AVE,
D3-CIA,
D3-SYSM,System Mapping
D3-SYSVA,
D3-SYSDM,
D3-SVCDM,
D3-DEM,
D3-SCH,Source Code Hardening
D3-VTV,
D3-VI,
D3-TL,
D3-RN,
D3-PV,
D3-NPC,
D3-MBSV,
D3-IRV,
D3-CS,
D3-AA,Agent Authentication
D3-TBA,
D3-PWA,
D3-MFA,
D3-CBAN,
D3-BAN,
D3-MH,Message Hardening
D3-TAAN,
D3-MENCR,
D3-MAN,
D3-CH,Credential Hardening
D3-TB,
D3-SPP,
D3-CFP,
D3-CRO,
D3-PR,
D3-OTP,
D3-CERO,
D3-CP,
D3-PH,Platform Hardening
D3-DENCR,
D3-TBI,
D3-RFS,
D3-HBWP,
D3-BA,
D3-SCP,
D3-FE,
D3-SU,
D3-DLIC,
D3-AH,Application Hardening
D3-SFCV,
D3-SAOR,
D3-PSEP,
D3-PAN,
D3-EHPV,
D3-DCE,
D3-ACH,
D3-NTA,Network Traffic Analysis
D3-RTA,
D3-IPCTA,
D3-RTSD,
D3-RPA,
D3-PMAD,
D3-PHDURA,
D3-DNSTA,
D3-FC,
D3-ISVA,
D3-NTCD,
D3-CSPP,
D3-ANAA,
D3-CAA,
D3-NTSA,
D3-BSE,
D3-CA,
D3-PCA,
D3-ACA,
D3-MA,Message Analysis
D3-SRA,
D3-SMRA,
D3-PA,Process Analysis
D3-FAPA,
D3-DQSA,
D3-SSC,
D3-SEA,
D3-PSA,
D3-PLA,
D3-IBCA,
D3-SCA,
D3-FCA,
D3-PSMD,
D3-PCSV,
D3-FA,File Analysis
D3-FH,
D3-FCOA,
D3-FCR,
D3-EFA,
D3-DA,
D3-UBA,User Behavior Analysis
D3-DAM,
D3-SDA,
D3-UGLPA,
D3-WSAA,
D3-JFAPA,
D3-CCSA,
D3-AZET,
D3-ANET,
D3-RAPA,
D3-LAM,
D3-UDTA,
D3-ID,Identifier Analysis
D3-UA,
D3-IRA,
D3-URA,
D3-IPRA,
D3-FHRA,
D3-DNRA,
D3-IAA,
D3-HD,
D3-PM,Platform Monitoring
D3-OSM,
D3-USICA,
D3-SICA,
D3-SFA,
D3-SBV,
D3-SDM,
D3-SJA,
D3-MBT,
D3-IDA,
D3-EHB,
D3-OMM,
D3-FV,
D3-SFV,
D3-PFV,
D3-FEMC,
D3-FBA,
D3-FIM,
D3-AMED,Access Mediation
D3-SCF,
D3-LFAM,
D3-PAM,
D3-OPR,
D3-NRAM,
D3-WSAM,
D3-PBWSAM,
D3-EBWSAM,
D3-RFAM,
D3-NAM,
D3-RAM,
D3-LAMED,
D3-IOPR,
D3-CTS,
D3-CF,Content Filtering
D3-CV,
D3-FFV,
D3-FMVV,
D3-FMBV,
D3-FMCV,
D3-FISV,
D3-FCDC,
D3-CQ,
D3-CM,
D3-CNS,
D3-CNR,
D3-CFC,
D3-CNE,
D3-EI,Execution Isolation
D3-KBPI,
D3-HBPI,
D3-EDL,
D3-EAL,
D3-ABPI,
D3-APA,Access Policy Administration
D3-UAP,
D3-LFP,
D3-DTP,
D3-NI,Network Isolation
D3-NTF,
D3-OTF,
D3-ITF,
D3-EF,
D3-ET,
D3-DNSDL,
D3-RRID,
D3-FRIDL,
D3-FRDDL,
D3-HDL,
D3-HDDL,
D3-DNSAL,
D3-BDI,
D3-DO,Decoy Object
D3-DUC,
D3-DST,
D3-DPR,
D3-DP,
D3-DNR,
D3-DF,
D3-DE,Decoy Environment
D3-SHN,
D3-IHN,
D3-CHN,
D3-PE,Process Eviction
D3-ST,
D3-PT,
D3-PS,
D3-HS,
D3-HR,
D3-OE,Object Eviction
D3-RKD,
D3-FEV,
D3-ER,
D3-DRT,
D3-DKF,
D3-DKP,
D3-DKE,
D3-DNSCE,
D3-CE,Credential Eviction
D3-CR,
D3-ANCI,
D3-AL,
D3-RO,Restore Object
D3-RS,
D3-RF,
D3-RE,
D3-RDI,
D3-RD,
D3-RC,
D3-RA,Restore Access
D3-RUAA,
D3-ULA,
D3-RNA,
D3-RIC,
