family_name,attack_id,confidence
abransom,T1486,high
abransom,T1055,medium
aconti,T1486,high
aconti,T1070,medium
aconti,T1055,medium
akira,T1486,high
akira,T1070,medium
akira,T1055,medium
azovwiper,T1485,high
azovwiper,T1487,high
azovwiper,T1488,high
azovwiper,T1490,high
bccrypt,T1486,high
bccrypt,T1055,medium
bianlian,T1486,high
bianlian,T1490,high
bianlian,T1055,medium
blackmatter,T1486,high
blackmatter,T1490,high
blackmatter,T1055,medium
clop,T1041,medium
clop,T1486,high
clop,T1055,medium
conti,T1486,high
conti,T1070,medium
conti,T1055,medium
conti,T1021,medium
cryakl,T1486,high
cryakl,T1055,medium
cryfile,T1486,high
cryfile,T1055,medium
crypmodng,T1486,high
crypmodng,T1055,medium
crypren,T1486,high
crypren,T1055,medium
cryptagent,T1486,high
cryptagent,T1055,medium
cryptedloader,T1486,high
cryptedloader,T1055,medium
cryptic,T1486,high
cryptic,T1055,medium
cryptonote,T1486,high
cryptonote,T1496,medium
cryptowall,T1486,high
cryptowall,T1055,medium
cryptowall,T1070,medium
cryptran,T1486,high
cryptran,T1055,medium
cryrar,T1486,high
cryrar,T1055,medium
detplock,T1486,high
detplock,T1055,medium
dotransom,T1486,high
dotransom,T1055,medium
fakeransom,T1486,high
fakeransom,T1055,medium
gandcrab,T1486,high
gandcrab,T1055,medium
gandcrab,T1070,medium
genkryptikagen,T1486,high
genkryptikagen,T1055,medium
hive,T1486,high
hive,T1070,medium
hive,T1055,medium
hmblocker,T1486,high
hmblocker,T1055,medium
ibashade,T1486,high
ibashade,T1055,medium
injectorcrypt,T1486,high
injectorcrypt,T1055,medium
lockbit,T1486,high
lockbit,T1490,high
lockbit,T1055,medium
lockbit,T1070,medium
lockergoga,T1486,high
lockergoga,T1489,medium
lockergoga,T1490,high
lockergoga,T1055,medium
mbrlock,T1486,high
mbrlock,T1487,high
mbrlock,T1490,high
mountlocker,T1486,high
mountlocker,T1490,high
mountlocker,T1055,medium
polycrypt,T1486,high
polycrypt,T1055,medium
pornoblocker,T1486,high
pornoblocker,T1055,medium
prestige,T1486,high
prestige,T1485,high
prestige,T1490,high
pscrypt,T1486,high
pscrypt,T1055,medium
pycrypter,T1486,high
pycrypter,T1055,medium
ragnarlocker,T1486,high
ragnarlocker,T1490,high
ragnarlocker,T1055,medium
ransomrevil,T1486,high
ransomrevil,T1070,medium
ransomrevil,T1055,medium
ransomsnatch,T1486,high
ransomsnatch,T1055,medium
revil,T1486,high
revil,T1070,medium
revil,T1055,medium
rhysida,T1486,high
rhysida,T1485,high
rhysida,T1490,high
shade,T1486,high
shade,T1055,medium
silentcryptominer,T1496,medium
silentcryptominer,T1055,medium
teslacrypt,T1486,high
teslacrypt,T1055,medium
virlock,T1486,high
virlock,T1055,medium
wannacry,T1486,high
wannacry,T1070,medium
wannacry,T1055,medium
