example_num,technique_id,technique_name,det_count,lrn_count,deterministic_controls,learned_controls,overlap,match
1,T1486,Data Encrypted for Impact,7,5,D3-AI; D3-DE; D3-DO; D3-FA; D3-PM; D3-RA; D3-UBA,D3-BAC; D3-BDR; D3-CHN; D3-DI; D3-SFA,,DISJOINT
2,T1490,Inhibit System Recovery,3,5,D3-AI; D3-PM; D3-RA,D3-BAC; D3-BDR; D3-CR; D3-DCE; D3-PCSV,,DISJOINT
3,T1485,Data Destruction,3,4,D3-DO; D3-FA; D3-RA,D3-DEM; D3-DI; D3-DKE; D3-DQSA,,DISJOINT
4,T1487,Disk Structure Wipe,2,4,D3-PM; D3-RA,D3-DENCR; D3-DKE; D3-DKF; D3-DKP,,DISJOINT
5,T1488,Disk Content Wipe,2,4,D3-FA; D3-RA,D3-DENCR; D3-DKE; D3-DKF; D3-DKP,,DISJOINT
6,T1055,Process Injection,4,4,D3-FA; D3-PE; D3-PM; D3-UBA,D3-HBPI; D3-IPCTA; D3-PLA; D3-PSEP,,DISJOINT
7,T1070,Indicator Removal,4,5,D3-AI; D3-FA; D3-PM; D3-UBA,D3-EDR; D3-PSA; D3-SIEM; D3-TBI; D3-TL,,DISJOINT
8,T1021,Remote Services,4,5,D3-AI; D3-AMED; D3-PM; D3-UBA,D3-NFP; D3-OMM; D3-RFAM; D3-RTSD; D3-VPM,,DISJOINT
9,T1055.011,Extra Window Memory Injection,4,4,D3-FA; D3-PE; D3-PM; D3-UBA,D3-HBPI; D3-PCSV; D3-PLA; D3-PSEP,,DISJOINT
10,T1070.006,Timestomp,4,4,D3-AI; D3-FA; D3-PM; D3-UBA,D3-DA; D3-FMVV; D3-RFAM; D3-SFA,,DISJOINT
11,T1485.001,Lifecycle-Triggered Deletion,3,4,D3-DO; D3-FA; D3-RA,D3-CIA; D3-DF; D3-DST; D3-ER,,DISJOINT
12,T1489,Service Stop,3,4,D3-AI; D3-PM; D3-UBA,D3-NRAM; D3-ODM; D3-OMM; D3-SVCDM,,DISJOINT
13,T1021.005,VNC,4,4,D3-AI; D3-AMED; D3-PM; D3-UBA,D3-CHN; D3-PWA; D3-RFAM; D3-TBA,,DISJOINT
14,T1070.002,Clear Linux or Mac System Logs,4,4,D3-AI; D3-FA; D3-PM; D3-UBA,D3-DCE; D3-FEMC; D3-PCSV; D3-SFA,,DISJOINT
15,T1041,Exfiltration Over C2 Channel,3,4,D3-AI; D3-PM; D3-UBA,D3-CERO; D3-DEM; D3-DI; D3-NRAM,,DISJOINT
