asset_id,risk_score,predicted_label,true_label,technique_id
asset_0000,0.0033804806999925,0,0,T1486
asset_0001,0.9042692805633136,1,0,T1486
asset_0002,0.0033104508115333,0,0,T1486
asset_0003,0.9042692805633136,1,0,T1486
asset_0004,0.003310450811489,0,0,T1486
asset_0005,0.0033104508115294,0,1,T1486
asset_0006,0.9042692805633136,1,0,T1486
asset_0007,0.0033104508115333,0,1,T1486
asset_0008,0.0033104508114552,0,0,T1486
asset_0009,0.9042692805633136,1,1,T1486
asset_0010,0.0033104508115869,0,0,T1486
asset_0011,0.9042692805633136,1,0,T1486
asset_0012,0.0033104508115333,0,0,T1486
asset_0013,0.0033104508115333,0,1,T1486
asset_0014,0.0033104508115021,0,0,T1486
asset_0015,0.9042692805633136,1,1,T1486
asset_0016,0.0033104508115333,0,0,T1486
asset_0017,0.9042692805633136,1,1,T1486
asset_0018,0.0033104508115061,0,0,T1486
asset_0019,0.9042692805633136,1,0,T1486
asset_0020,0.9042692805633136,1,1,T1486
asset_0021,0.9042692805633136,1,1,T1486
asset_0022,0.0033104508115169,0,0,T1486
asset_0023,0.9042692805633136,1,0,T1486
asset_0024,0.9042692805633136,1,1,T1486
asset_0025,0.0033104477866214,0,1,T1486
asset_0026,0.9042692805633136,1,1,T1486
asset_0027,0.9042692805633136,1,0,T1486
asset_0028,0.0033104508115333,0,0,T1486
asset_0029,0.9042692805633136,1,0,T1486
asset_0030,0.0033104508115333,0,0,T1486
asset_0031,0.9042692805633136,1,0,T1486
asset_0032,0.9042692805633136,1,1,T1486
asset_0033,0.9042692805633136,1,0,T1486
asset_0034,0.0033104508115333,0,0,T1486
asset_0035,0.0033104508115758,0,0,T1486
asset_0036,0.9042692805633136,1,1,T1486
asset_0037,0.0033104508114935,0,1,T1486
asset_0038,0.9042692805633136,1,0,T1486
asset_0039,0.0033104508115333,0,1,T1486
asset_0040,0.0033104508115309,0,0,T1486
asset_0041,0.9042692805633136,1,0,T1486
asset_0042,0.0033104508115196,0,0,T1486
asset_0043,0.9042692805633136,1,1,T1486
asset_0044,0.0033104508115309,0,1,T1486
asset_0045,0.0033104508114785,0,0,T1486
asset_0046,0.0033104508115333,0,0,T1486
asset_0047,0.0033104508115333,0,0,T1486
asset_0048,0.0033104499674126,0,0,T1486
asset_0049,0.9042692805633136,1,0,T1486
asset_0050,0.0033104499674126,0,1,T1486
asset_0051,0.9042692805633136,1,1,T1486
asset_0052,0.0033104508115038,0,1,T1486
asset_0053,0.9042692805633136,1,1,T1486
asset_0054,0.0033104508115333,0,1,T1486
asset_0055,0.0033104508115309,0,1,T1486
asset_0056,0.9042692805633136,1,1,T1486
asset_0057,0.9042692805633136,1,1,T1486
asset_0058,0.0033104508114787,0,0,T1486
asset_0059,0.9042692805633136,1,1,T1486
asset_0060,0.9042692805633136,1,1,T1486
asset_0061,0.9042692805633136,1,1,T1486
asset_0062,0.9042692805633136,1,0,T1486
asset_0063,0.0033104508115333,0,0,T1486
asset_0064,0.9042692805633136,1,1,T1486
asset_0065,0.0033104508115333,0,0,T1486
asset_0066,0.0033104490932545,0,1,T1486
asset_0067,0.9042692805633136,1,1,T1486
asset_0068,0.0033104508115333,0,0,T1486
asset_0069,0.9042692805633136,1,0,T1486
asset_0070,0.9042692805633136,1,1,T1486
asset_0071,0.0033104508115225,0,1,T1486
asset_0072,0.0033104508114785,0,0,T1486
asset_0073,0.0033104508115309,0,1,T1486
asset_0074,0.9042692805633136,1,1,T1486
asset_0075,0.0033104508115185,0,1,T1486
asset_0076,0.0033104508115333,0,0,T1486
asset_0077,0.9042692805633136,1,1,T1486
asset_0078,0.0033104508115293,0,0,T1486
asset_0079,0.9042692805633136,1,0,T1486
asset_0080,0.9042692805633136,1,0,T1486
asset_0081,0.0033104508115099,0,1,T1486
asset_0082,0.0033104508115333,0,0,T1486
asset_0083,0.9042692805633136,1,0,T1486
asset_0084,0.9042692805633136,1,0,T1486
asset_0085,0.9042692805633136,1,0,T1486
asset_0086,0.0033104508115333,0,1,T1486
asset_0087,0.9042692805633136,1,0,T1486
asset_0088,0.9042692805633136,1,0,T1486
asset_0089,0.0033104508115333,0,1,T1486
asset_0090,0.0033104508115333,0,1,T1486
asset_0091,0.9042692805633136,1,1,T1486
asset_0092,0.0033104508115333,0,1,T1486
asset_0093,0.0033104508115061,0,0,T1486
asset_0094,0.0033104508115333,0,0,T1486
asset_0095,0.0033104508115225,0,1,T1486
asset_0096,0.9042692805633136,1,0,T1486
asset_0097,0.0033104508115021,0,0,T1486
asset_0098,0.9042692805633136,1,0,T1486
