sample_id,true_label,family,p_ransomware,predicted_label,split_part
full_ember_000000,1,upatre,0.9999999999957334,1,test
full_ember_000001,0,unknown,5.579903539318479e-12,0,test
full_ember_000002,0,unknown,6.997045335971467e-08,0,test
full_ember_000003,1,unknown,0.9999999501564283,1,test
full_ember_000004,1,kerneldrutil,0.9999999999671321,1,test
full_ember_000005,1,xmrig,1.0,1,test
full_ember_000006,0,unknown,3.080621036478154e-10,0,test
full_ember_000007,0,unknown,4.454595787388893e-09,0,test
full_ember_000008,0,unknown,1.0204594857925278e-05,0,test
full_ember_000009,0,unknown,3.3070556930401844e-11,0,test
full_ember_000010,0,unknown,3.5053244013251204e-11,0,test
full_ember_000011,1,unknown,0.982631108885211,1,test
full_ember_000012,1,unknown,0.9999907668038535,1,test
full_ember_000013,1,expiro,0.9999999999999953,1,test
full_ember_000014,0,unknown,0.00041772345416343966,0,test
full_ember_000015,0,unknown,5.70227310671528e-07,0,test
full_ember_000016,0,unknown,5.719287663713639e-10,0,test
full_ember_000017,0,unknown,1.2849627749202778e-11,0,test
full_ember_000018,1,unknown,0.9999349272293669,1,test
full_ember_000019,0,unknown,0.0008541472820355167,0,test
full_ember_000020,1,expiro,0.999999999928332,1,test
full_ember_000021,1,grandoreiro,0.9999999999994318,1,test
full_ember_000022,0,unknown,1.101939761608101e-05,0,test
full_ember_000023,0,unknown,6.12626554266367e-11,0,test
full_ember_000024,1,ulise,0.9999982690132214,1,test
full_ember_000025,1,remsim,0.9999997625131136,1,test
full_ember_000026,1,banload,0.9999999999999998,1,test
full_ember_000027,0,unknown,1.4583663926060524e-05,0,test
full_ember_000028,0,unknown,3.756140640374254e-08,0,test
full_ember_000029,0,unknown,6.103158019328642e-09,0,test
full_ember_000030,0,unknown,2.664583277322529e-05,0,test
full_ember_000031,0,unknown,1.3332008536038217e-10,0,test
full_ember_000032,0,unknown,3.175771612542548e-11,0,test
full_ember_000033,0,unknown,5.597140617644384e-07,0,test
full_ember_000034,1,expiro,0.9999987860833314,1,test
full_ember_000035,1,xmrig,0.9999999999999067,1,test
full_ember_000036,1,banload,0.9999999999999998,1,test
full_ember_000037,0,unknown,3.1915363787500022e-06,0,test
full_ember_000038,0,unknown,1.1061795752695056e-07,0,test
full_ember_000039,0,unknown,7.891467537433858e-05,0,test
full_ember_000040,1,cobaltstrike,0.9999999360876654,1,test
full_ember_000041,0,unknown,7.427209460831609e-08,0,test
full_ember_000042,0,unknown,3.552673054621965e-14,0,test
full_ember_000043,1,banload,0.9999999999999998,1,test
full_ember_000044,1,premine,0.999999999999948,1,test
full_ember_000045,1,unknown,0.9999999992040056,1,test
full_ember_000046,1,xmrig,0.9999999985529571,1,test
full_ember_000047,1,ndaof,0.9999936997883221,1,test
full_ember_000048,0,unknown,3.694544797744118e-07,0,test
full_ember_000049,1,unknown,0.9999999999361044,1,test
full_ember_000050,0,unknown,2.0030904861415936e-09,0,test
full_ember_000051,0,unknown,1.6631166834960113e-06,0,test
full_ember_000052,0,unknown,4.717471621603236e-11,0,test
full_ember_000053,0,unknown,1.5429673113394026e-08,0,test
full_ember_000054,0,unknown,1.0602315161163945e-08,0,test
full_ember_000055,0,unknown,1.0275184527053923e-09,0,test
full_ember_000056,0,unknown,4.008906982665617e-08,0,test
full_ember_000057,0,unknown,4.069214472312384e-07,0,test
full_ember_000058,0,unknown,1.769835986946184e-09,0,test
full_ember_000059,0,unknown,3.1409834580779405e-09,0,test
full_ember_000060,0,unknown,4.763951775701955e-08,0,test
full_ember_000061,0,unknown,5.5420607983291155e-08,0,test
full_ember_000062,0,unknown,1.135183982917078e-06,0,test
full_ember_000063,0,unknown,4.393329772258122e-06,0,test
full_ember_000064,0,unknown,6.650640056620998e-06,0,test
full_ember_000065,0,unknown,5.34466610459362e-07,0,test
full_ember_000066,0,unknown,6.616171254504619e-10,0,test
full_ember_000067,0,unknown,7.960801684197305e-08,0,test
full_ember_000068,0,unknown,1.9871254979497612e-08,0,test
full_ember_000069,0,unknown,1.164583849618124e-05,0,test
full_ember_000070,1,bedep,0.999999457937574,1,test
full_ember_000071,1,flystudio,0.9999968872118233,1,test
full_ember_000072,1,peed,0.999999990048981,1,test
full_ember_000073,1,expiro,0.9999999999544966,1,test
full_ember_000074,1,flystudio,0.9982465883304648,1,test
full_ember_000075,0,unknown,1.4014523032672927e-14,0,test
full_ember_000076,0,unknown,4.8997708485746046e-14,0,test
full_ember_000077,0,unknown,2.1372386373654455e-08,0,test
full_ember_000078,1,xmrig,1.0,1,test
full_ember_000079,0,unknown,7.794204895833568e-07,0,test
full_ember_000080,0,unknown,6.050275236256416e-06,0,test
full_ember_000081,1,xmrig,1.0,1,test
full_ember_000082,0,unknown,0.0004853310306930346,0,test
full_ember_000083,0,unknown,2.6411939446144418e-09,0,test
full_ember_000084,0,unknown,0.0007556939739021686,0,test
full_ember_000085,0,unknown,4.51482056443958e-09,0,test
full_ember_000086,0,unknown,1.8289397974818328e-07,0,test
full_ember_000087,0,unknown,2.0697794044618106e-09,0,test
full_ember_000088,1,unknown,0.999998904331118,1,test
full_ember_000089,0,unknown,1.801610148281459e-05,0,test
full_ember_000090,0,unknown,1.4969289291109092e-10,0,test
full_ember_000091,0,unknown,2.1042729577034374e-09,0,test
full_ember_000092,0,unknown,2.0012136501908484e-08,0,test
full_ember_000093,0,unknown,1.4602723265304628e-08,0,test
full_ember_000094,0,unknown,4.840562899791678e-07,0,test
full_ember_000095,0,unknown,9.447985637908345e-06,0,test
full_ember_000096,0,unknown,3.152201336449636e-05,0,test
full_ember_000097,0,unknown,1.0462099623999496e-07,0,test
full_ember_000098,0,unknown,1.905167292150333e-09,0,test
full_ember_000099,0,unknown,6.22635931893982e-05,0,test
full_ember_000100,0,unknown,4.056812462406401e-05,0,test
full_ember_000101,1,unknown,0.9999999997656808,1,test
full_ember_000102,0,unknown,1.8772319021015865e-05,0,test
full_ember_000103,0,unknown,1.2042768157356124e-08,0,test
full_ember_000104,0,unknown,1.6467774100445044e-05,0,test
full_ember_000105,1,xmrig,1.0,1,test
full_ember_000106,0,unknown,1.7179553823538138e-07,0,test
full_ember_000107,0,unknown,1.6614803574771085e-09,0,test
full_ember_000108,0,unknown,9.98263834511663e-09,0,test
full_ember_000109,0,unknown,5.986819106933842e-07,0,test
full_ember_000110,1,sisron,0.9999999934816699,1,test
full_ember_000111,1,vindor,0.9999999999999996,1,test
full_ember_000112,1,expiro,0.9999999999999905,1,test
full_ember_000113,0,unknown,2.6064074052860115e-08,0,test
full_ember_000114,0,unknown,1.0672809542541703e-06,0,test
full_ember_000115,0,unknown,3.4337390019626794e-06,0,test
full_ember_000116,1,unknown,0.9999973597661718,1,test
full_ember_000117,0,unknown,1.0477830468290205e-05,0,test
full_ember_000118,1,xmrig,1.0,1,test
full_ember_000119,1,unknown,0.9999999999999996,1,test
full_ember_000120,1,xmrig,1.0,1,test
full_ember_000121,0,unknown,6.579043934126795e-11,0,test
full_ember_000122,0,unknown,1.1649783247613846e-07,0,test
full_ember_000123,1,unknown,0.9999997024611625,1,test
full_ember_000124,0,unknown,6.616154456019325e-07,0,test
full_ember_000125,0,unknown,1.3396423598488902e-06,0,test
full_ember_000126,1,xmrig,1.0,1,test
full_ember_000127,1,scarletflash,0.9999999651705344,1,test
full_ember_000128,1,unknown,0.9999999999999629,1,test
full_ember_000129,0,unknown,1.079253489325953e-08,0,test
full_ember_000130,0,unknown,5.226211380637347e-07,0,test
full_ember_000131,1,xmrig,1.0,1,test
full_ember_000132,1,expiro,0.9999999999994114,1,test
full_ember_000133,0,unknown,1.4200951341671758e-08,0,test
full_ember_000134,1,xmrig,0.9999999998435365,1,test
full_ember_000135,0,unknown,2.2001969284984835e-08,0,test
full_ember_000136,0,unknown,3.126079992457625e-10,0,test
full_ember_000137,1,berbew,0.9999999999890505,1,test
full_ember_000138,0,unknown,2.392174785976159e-07,0,test
full_ember_000139,1,bedep,0.9999999440883316,1,test
full_ember_000140,1,xmrig,1.0,1,test
full_ember_000141,1,disin,0.999999945402588,1,test
full_ember_000142,1,disco,0.9999996660162974,1,test
full_ember_000143,1,xmrig,1.0,1,test
full_ember_000144,1,expiro,0.9999999999999383,1,test
full_ember_000145,1,expiro,0.9999999999997748,1,test
full_ember_000146,1,phonzy,0.999999999937571,1,test
full_ember_000147,0,unknown,9.645507339410852e-05,0,test
full_ember_000148,0,unknown,0.2539523091680047,1,test
full_ember_000149,0,unknown,1.353234523457965e-07,0,test
full_ember_000150,0,unknown,0.0001922784684979899,0,test
full_ember_000151,0,unknown,6.287245751905655e-05,0,test
full_ember_000152,0,unknown,1.7578970803078059e-10,0,test
full_ember_000153,0,unknown,3.856838756894766e-05,0,test
full_ember_000154,1,expiro,0.9999822395472464,1,test
full_ember_000155,1,xmrig,1.0,1,test
full_ember_000156,1,unknown,0.9999999999855791,1,test
full_ember_000157,1,xmrig,0.9999999999999993,1,test
full_ember_000158,1,knight,0.9999992833783167,1,test
full_ember_000159,1,xmrig,1.0,1,test
full_ember_000160,1,xmrig,1.0,1,test
full_ember_000161,1,expiro,0.9999992799795994,1,test
full_ember_000162,1,scarletflash,0.9999999999999782,1,test
full_ember_000163,1,jaiko,0.9999999999968936,1,test
full_ember_000164,1,xmrig,1.0,1,test
full_ember_000165,1,expiro,0.9999999999999949,1,test
full_ember_000166,0,unknown,7.318473228923631e-13,0,test
full_ember_000167,1,scarletflash,0.999999999983749,1,test
full_ember_000168,1,scarletflash,0.9999999999999418,1,test
full_ember_000169,1,expiro,0.9999999999997047,1,test
full_ember_000170,1,xmrig,1.0,1,test
full_ember_000171,1,xmrig,0.9999999999999996,1,test
full_ember_000172,1,xmrig,1.0,1,test
full_ember_000173,0,unknown,1.4637983072232203e-08,0,test
full_ember_000174,1,xmrig,1.0,1,test
full_ember_000175,0,unknown,6.515856552337282e-11,0,test
full_ember_000176,0,unknown,1.618193251844717e-07,0,test
full_ember_000177,0,unknown,3.0753235268967064e-06,0,test
full_ember_000178,0,unknown,1.365018378904928e-09,0,test
full_ember_000179,0,unknown,1.8281194024875536e-11,0,test
full_ember_000180,0,unknown,6.401517171374434e-10,0,test
full_ember_000181,0,unknown,5.478840619573755e-09,0,test
