sample_id,true_label,family,p_ransomware,predicted_label,split_part
small_ember_000000,1,upatre,0.9999999999957334,1,test
small_ember_000001,0,unknown,5.579903539318479e-12,0,test
small_ember_000002,0,unknown,6.997045335971467e-08,0,test
small_ember_000003,1,unknown,0.9999999501564283,1,test
small_ember_000004,1,kerneldrutil,0.9999999999671321,1,test
small_ember_000005,1,xmrig,1.0,1,test
small_ember_000006,0,unknown,3.080621036478154e-10,0,test
small_ember_000007,0,unknown,4.454595787388893e-09,0,test
small_ember_000008,0,unknown,1.0204594857925278e-05,0,test
small_ember_000009,0,unknown,3.3070556930401844e-11,0,test
small_ember_000010,0,unknown,3.5053244013251204e-11,0,test
small_ember_000011,1,unknown,0.982631108885211,1,test
small_ember_000012,1,unknown,0.9999907668038535,1,test
small_ember_000013,1,expiro,0.9999999999999953,1,test
small_ember_000014,0,unknown,0.00041772345416343966,0,test
small_ember_000015,0,unknown,5.70227310671528e-07,0,test
small_ember_000016,0,unknown,5.719287663713639e-10,0,test
small_ember_000017,0,unknown,1.2849627749202778e-11,0,test
small_ember_000018,1,unknown,0.9999349272293669,1,test
small_ember_000019,0,unknown,0.0008541472820355167,0,test
small_ember_000020,1,expiro,0.999999999928332,1,test
small_ember_000021,1,grandoreiro,0.9999999999994318,1,test
small_ember_000022,0,unknown,1.101939761608101e-05,0,test
small_ember_000023,0,unknown,6.12626554266367e-11,0,test
small_ember_000024,1,ulise,0.9999982690132214,1,test
small_ember_000025,1,remsim,0.9999997625131136,1,test
small_ember_000026,1,banload,0.9999999999999998,1,test
small_ember_000027,0,unknown,1.4583663926060524e-05,0,test
small_ember_000028,0,unknown,3.756140640374254e-08,0,test
small_ember_000029,0,unknown,6.103158019328642e-09,0,test
small_ember_000030,0,unknown,2.664583277322529e-05,0,test
small_ember_000031,0,unknown,1.3332008536038217e-10,0,test
small_ember_000032,0,unknown,3.175771612542548e-11,0,test
small_ember_000033,0,unknown,5.597140617644384e-07,0,test
small_ember_000034,1,expiro,0.9999987860833314,1,test
small_ember_000035,1,xmrig,0.9999999999999067,1,test
small_ember_000036,1,banload,0.9999999999999998,1,test
small_ember_000037,0,unknown,3.1915363787500022e-06,0,test
small_ember_000038,0,unknown,1.1061795752695056e-07,0,test
small_ember_000039,0,unknown,7.891467537433858e-05,0,test
small_ember_000040,1,cobaltstrike,0.9999999360876654,1,test
small_ember_000041,0,unknown,7.427209460831609e-08,0,test
small_ember_000042,0,unknown,3.552673054621965e-14,0,test
small_ember_000043,1,banload,0.9999999999999998,1,test
small_ember_000044,1,premine,0.999999999999948,1,test
small_ember_000045,1,unknown,0.9999999992040056,1,test
small_ember_000046,1,xmrig,0.9999999985529571,1,test
small_ember_000047,1,ndaof,0.9999936997883221,1,test
small_ember_000048,0,unknown,3.694544797744118e-07,0,test
small_ember_000049,1,unknown,0.9999999999361044,1,test
small_ember_000050,0,unknown,2.0030904861415936e-09,0,test
small_ember_000051,0,unknown,1.6631166834960113e-06,0,test
small_ember_000052,0,unknown,4.717471621603236e-11,0,test
small_ember_000053,0,unknown,1.5429673113394026e-08,0,test
small_ember_000054,0,unknown,1.0602315161163945e-08,0,test
small_ember_000055,0,unknown,1.0275184527053923e-09,0,test
small_ember_000056,0,unknown,4.008906982665617e-08,0,test
small_ember_000057,0,unknown,4.069214472312384e-07,0,test
small_ember_000058,0,unknown,1.769835986946184e-09,0,test
small_ember_000059,0,unknown,3.1409834580779405e-09,0,test
small_ember_000060,0,unknown,4.763951775701955e-08,0,test
small_ember_000061,0,unknown,5.5420607983291155e-08,0,test
small_ember_000062,0,unknown,1.135183982917078e-06,0,test
small_ember_000063,0,unknown,4.393329772258122e-06,0,test
small_ember_000064,0,unknown,6.650640056620998e-06,0,test
small_ember_000065,0,unknown,5.34466610459362e-07,0,test
small_ember_000066,0,unknown,6.616171254504619e-10,0,test
small_ember_000067,0,unknown,7.960801684197305e-08,0,test
small_ember_000068,0,unknown,1.9871254979497612e-08,0,test
small_ember_000069,0,unknown,1.164583849618124e-05,0,test
small_ember_000070,1,bedep,0.999999457937574,1,test
small_ember_000071,1,flystudio,0.9999968872118233,1,test
small_ember_000072,1,peed,0.999999990048981,1,test
small_ember_000073,1,expiro,0.9999999999544966,1,test
small_ember_000074,1,flystudio,0.9982465883304648,1,test
small_ember_000075,0,unknown,1.4014523032672927e-14,0,test
small_ember_000076,0,unknown,4.8997708485746046e-14,0,test
small_ember_000077,0,unknown,2.1372386373654455e-08,0,test
small_ember_000078,1,xmrig,1.0,1,test
small_ember_000079,0,unknown,7.794204895833568e-07,0,test
small_ember_000080,0,unknown,6.050275236256416e-06,0,test
small_ember_000081,1,xmrig,1.0,1,test
