asset_id,risk_score,predicted_label,true_label,technique_id
asset_0000,0.0033104508115225,0,0,T1486
asset_0001,0.0033104508115333,0,0,T1486
asset_0002,0.003310450811489,0,0,T1486
asset_0003,0.9042692805633136,1,1,T1486
asset_0004,0.9042692805633136,1,1,T1486
asset_0005,0.0033104508115205,0,0,T1486
asset_0006,0.9042692805633136,1,0,T1486
asset_0007,0.0033104508115333,0,0,T1055
asset_0008,0.0033104508115333,0,0,T1486
asset_0009,0.9042692805633136,1,0,T1486
asset_0010,0.0033104508115205,0,0,T1486
asset_0011,0.0033104508115225,0,0,T1486
asset_0012,0.9042692805633136,1,0,T1486
asset_0013,0.0033104508115333,0,0,T1486
asset_0014,0.9042692805633136,1,0,T1486
asset_0015,0.0033104508115333,0,0,T1486
asset_0016,0.9042692805633136,1,1,T1486
asset_0017,0.9042692805633136,1,1,T1486
asset_0018,0.0033104508115333,0,0,T1486
asset_0019,0.0033104508115333,0,0,T1486
asset_0020,0.9042692805633136,1,0,T1486
asset_0021,0.0033104508115333,0,0,T1486
asset_0022,0.9042692805633136,1,0,T1486
asset_0023,0.0033104361263645,0,0,T1486
asset_0024,0.9042692805633136,1,0,T1486
asset_0025,0.0033104508115205,0,0,T1486
asset_0026,0.0033104508115333,0,0,T1486
asset_0027,0.0033104508115333,0,0,T1486
asset_0028,0.0033104508115333,0,0,T1486
asset_0029,0.9042692805633136,1,1,T1486
asset_0030,0.9042692805633136,1,0,T1486
asset_0031,0.0033104508115333,0,0,T1486
asset_0032,0.9042692805633136,1,1,T1486
asset_0033,0.9042692805633136,1,0,T1486
asset_0034,0.9042692805633136,1,1,T1486
asset_0035,0.9042692805633136,1,0,T1486
asset_0036,0.9042692805633136,1,0,T1486
asset_0037,0.0033104508115333,0,0,T1486
asset_0038,0.9042692805633136,1,1,T1486
asset_0039,0.0033104508115201,0,0,T1486
asset_0040,0.0033104508115333,0,0,T1486
asset_0041,0.9042692805633136,1,1,T1486
asset_0042,0.9042692805633136,1,1,T1486
asset_0043,0.9042692805633136,1,1,T1486
asset_0044,0.9042692805633136,1,0,T1486
asset_0045,0.9042692805633136,1,1,T1486
asset_0046,0.0033104508115294,0,0,T1486
asset_0047,0.0033104508115225,0,0,T1486
asset_0048,0.0033104464221243,0,0,T1486
asset_0049,0.003310450811583,0,0,T1486
asset_0050,0.0033104508115333,0,0,T1486
asset_0051,0.9042692805633136,1,0,T1486
asset_0052,0.0033104508115333,0,0,T1486
asset_0053,0.0033104508120232,0,0,T1486
asset_0054,0.9042692805633136,1,1,T1486
asset_0055,0.0033104508115333,0,0,T1486
asset_0056,0.9042692805633136,1,1,T1486
asset_0057,0.0033104508115293,0,0,T1486
asset_0058,0.0033104508115868,0,0,T1486
asset_0059,0.0033104508115333,0,0,T1486
asset_0060,0.9042692805633136,1,1,T1486
asset_0061,0.9042692805633136,1,0,T1486
asset_0062,0.0033104508115186,0,0,T1486
asset_0063,0.0033104508115309,0,0,T1486
asset_0064,0.9042692805633136,1,1,T1486
asset_0065,0.0033104508115333,0,0,T1486
asset_0066,0.9042692805633136,1,0,T1486
asset_0067,0.9042692805633136,1,0,T1486
asset_0068,0.9042692805633136,1,1,T1486
asset_0069,0.0033104508115333,0,0,T1486
asset_0070,0.003310450811489,0,0,T1486
asset_0071,0.9042692805633136,1,1,T1486
asset_0072,0.0033104508115097,0,0,T1486
asset_0073,0.0033104508115333,0,0,T1486
asset_0074,0.9042692805633136,1,0,T1486
asset_0075,0.9042692805633136,1,0,T1486
asset_0076,0.9042692805633136,1,0,T1486
asset_0077,0.0033104508115869,0,0,T1486
asset_0078,0.0033104508115333,0,0,T1486
asset_0079,0.0033104497484606,0,0,T1486
asset_0080,0.0033104508115205,0,0,T1486
asset_0081,0.9042692805633136,1,0,T1486
asset_0082,0.0033104508115309,0,0,T1486
asset_0083,0.0033104508115167,0,0,T1486
asset_0084,0.9042692805633136,1,1,T1486
asset_0085,0.9042692805633136,1,1,T1486
asset_0086,0.9042692805633136,1,1,T1486
asset_0087,0.0033104508115021,0,0,T1486
asset_0088,0.0033104508115333,0,0,T1486
asset_0089,0.0033104508114933,0,0,T1486
asset_0090,0.9042692805633136,1,0,T1486
asset_0091,0.0033104508115185,0,0,T1486
asset_0092,0.9042692805633136,1,1,T1486
asset_0093,0.9042692805633136,1,0,T1486
asset_0094,0.0033104508115333,0,0,T1486
asset_0095,0.9042692805633136,1,0,T1486
asset_0096,0.0033104508115333,0,0,T1486
asset_0097,0.9042692805633136,1,0,T1486
asset_0098,0.9042692805633136,1,1,T1486
asset_0099,0.9042692805633136,1,1,T1486
asset_0100,0.9042692805633136,1,1,T1486
asset_0101,0.9042692805633136,1,0,T1486
asset_0102,0.9042692805633136,1,0,T1486
asset_0103,0.9042692805633136,1,1,T1486
asset_0104,0.0033104508115333,0,0,T1486
asset_0105,0.0033104508115097,0,0,T1486
asset_0106,0.9042692805633136,1,1,T1486
asset_0107,0.9042692805633136,1,1,T1486
asset_0108,0.0033104508115333,0,0,T1486
asset_0109,0.0033104508115333,0,0,T1486
asset_0110,0.9042692805633136,1,0,T1486
asset_0111,0.9042692805633136,1,1,T1486
asset_0112,0.0033104508115868,0,0,T1486
asset_0113,0.0033104508115293,0,0,T1486
asset_0114,0.0033104508114933,0,0,T1486
asset_0115,0.0033454389817491,0,0,T1486
asset_0116,0.9042692805633136,1,1,T1486
asset_0117,0.0033104508115333,0,0,T1486
asset_0118,0.0033104508115333,0,0,T1055
asset_0119,0.9042692805633136,1,1,T1486
asset_0120,0.9042692805633136,1,1,T1486
asset_0121,0.9042692805633136,1,1,T1486
asset_0122,0.0033104508115333,0,0,T1486
asset_0123,0.0033104508115333,0,0,T1055
asset_0124,0.0033104508115333,0,0,T1486
asset_0125,0.0033104508115049,0,0,T1486
asset_0126,0.0033104508115333,0,0,T1486
asset_0127,0.9042692805633136,1,1,T1486
asset_0128,0.9042692805633136,1,1,T1486
asset_0129,0.0033104508115333,0,0,T1486
asset_0130,0.9042692805633136,1,1,T1486
asset_0131,0.9042692805633136,1,0,T1486
asset_0132,0.9042692805633136,1,1,T1486
asset_0133,0.9042692805633136,1,1,T1486
asset_0134,0.0033104508115309,0,0,T1486
asset_0135,0.9042692805633136,1,1,T1486
asset_0136,0.0033104508115309,0,0,T1486
asset_0137,0.0033104508115309,0,0,T1486
asset_0138,0.9042692805633136,1,0,T1486
asset_0139,0.0033104508115333,0,0,T1486
asset_0140,0.0033104508115307,0,0,T1486
asset_0141,0.0033104508115309,0,0,T1486
asset_0142,0.0033104462285538,0,0,T1486
asset_0143,0.9042692805633136,1,1,T1486
asset_0144,0.0034876895567868,0,0,T1486
asset_0145,0.9042692805633136,1,0,T1486
asset_0146,0.9042692805633136,1,0,T1486
asset_0147,0.0033804652151763,0,0,T1486
asset_0148,0.0033104508115784,0,0,T1486
asset_0149,0.9042692805633136,1,0,T1486
asset_0150,0.0033104508115333,0,0,T1486
asset_0151,0.9042692805633136,1,1,T1486
asset_0152,0.0033104508115333,0,0,T1486
asset_0153,0.9042692805633136,1,0,T1486
asset_0154,0.0033104508115333,0,0,T1486
asset_0155,0.9042692805633136,1,0,T1486
asset_0156,0.9042692805633136,1,0,T1486
asset_0157,0.9042692805633136,1,0,T1486
asset_0158,0.0033104508115333,0,0,T1486
asset_0159,0.0033104508115333,0,0,T1486
asset_0160,0.0033104508115097,0,0,T1486
asset_0161,0.9042692805633136,1,1,T1486
asset_0162,0.9042692805633136,1,0,T1486
asset_0163,0.9042692805633136,1,0,T1486
asset_0164,0.9042692805633136,1,0,T1486
asset_0165,0.9042692805633136,1,0,T1486
asset_0166,0.0033104508115333,0,0,T1486
asset_0167,0.9042692805633136,1,1,T1486
asset_0168,0.0033104508115333,0,0,T1486
asset_0169,0.9042692805633136,1,0,T1486
asset_0170,0.003310450811466,0,0,T1486
asset_0171,0.0033104508115333,0,0,T1486
asset_0172,0.9042692805633136,1,1,T1486
asset_0173,0.0033104508115333,0,0,T1486
asset_0174,0.9042692805633136,1,1,T1486
asset_0175,0.9042692805633136,1,1,T1486
