asset_id,risk_score,predicted_label,true_label,technique_id
asset_0000,0.7022,1,1,T1486
asset_0001,0.8514,1,1,T1055
asset_0002,0.2058,0,0,T1027
asset_0003,0.8997,1,1,T1490
asset_0004,0.062,0,0,T1027
asset_0005,0.8177,1,1,T1027
asset_0006,0.1225,0,0,T1027
asset_0007,0.83,1,1,T1021
asset_0008,0.8704,1,1,T1055
asset_0009,0.1815,0,0,T1486
asset_0010,0.7777,1,1,T1486
asset_0011,0.1961,0,0,T1486
asset_0012,0.8285,1,1,T1490
asset_0013,0.1122,0,0,T1070
asset_0014,0.8462,1,1,T1059
asset_0015,0.9665,1,1,T1486
asset_0016,0.13,0,0,T1486
asset_0017,0.4102,0,0,T1070
asset_0018,0.7321,1,1,T1027
asset_0019,0.8643,1,1,T1490
asset_0020,0.0818,0,0,T1055
asset_0021,0.1825,0,0,T1490
asset_0022,0.8237,1,1,T1070
asset_0023,0.5177,1,1,T1490
asset_0024,0.601,1,1,T1059
asset_0025,0.6651,1,1,T1027
asset_0026,0.905,1,1,T1070
asset_0027,0.2206,0,0,T1070
asset_0028,0.8132,1,1,T1059
asset_0029,0.8967,1,1,T1055
asset_0030,0.8489,1,1,T1490
asset_0031,0.1678,0,0,T1070
asset_0032,0.8831,1,1,T1027
asset_0033,0.9039,1,1,T1021
asset_0034,0.8309,1,1,T1055
asset_0035,0.7195,1,1,T1490
asset_0036,0.8947,1,1,T1055
asset_0037,0.7396,1,1,T1027
asset_0038,0.7353,1,1,T1490
asset_0039,0.1675,0,0,T1027
asset_0040,0.1324,0,0,T1490
asset_0041,0.1047,0,0,T1021
asset_0042,0.7864,1,1,T1059
asset_0043,0.9306,1,1,T1490
asset_0044,0.1445,0,0,T1021
asset_0045,0.7162,1,1,T1490
asset_0046,0.1252,0,0,T1021
asset_0047,0.1238,0,0,T1486
asset_0048,0.7199,1,1,T1070
asset_0049,0.3644,0,0,T1027
asset_0050,0.9311,1,1,T1486
asset_0051,0.9599,1,1,T1021
asset_0052,0.7499,1,1,T1490
asset_0053,0.828,1,1,T1490
asset_0054,0.6443,1,1,T1027
